winner,turns,largest_army,longest_road,points_0,points_1,points_2,points_3,smart,trial
3.0,148,3.0,0.0,5,5,7,10,0,571
3.0,104,1.0,0.0,7,4,5,10,3,572
3.0,160,,0.0,6,5,2,10,3,573
2.0,175,2.0,2.0,6,4,10,4,0,574
3.0,200,3.0,0.0,6,5,2,10,0,575
2.0,115,2.0,1.0,4,6,10,4,3,576
2.0,107,,2.0,4,2,11,3,3,577
0.0,117,2.0,0.0,10,2,6,4,0,578
0.0,177,0.0,0.0,10,5,6,5,3,579
0.0,89,,0.0,11,2,3,3,2,580
1.0,98,1.0,1.0,8,10,3,1,0,581
3.0,96,3.0,3.0,5,3,5,10,3,582
,200,,0.0,8,4,7,4,1,583
0.0,117,0.0,2.0,10,4,8,6,2,584
2.0,111,0.0,2.0,4,2,10,3,2,585
1.0,122,,1.0,2,11,2,2,1,586
3.0,104,,3.0,4,4,4,10,0,587
0.0,153,,0.0,10,3,3,3,3,588
0.0,109,,0.0,10,2,3,2,0,589
2.0,151,3.0,0.0,9,2,11,7,0,590
2.0,95,2.0,1.0,4,6,10,2,1,591
2.0,151,0.0,1.0,6,9,10,4,1,592
3.0,120,3.0,3.0,4,3,4,10,0,593
1.0,70,,0.0,6,10,4,4,2,594
3.0,176,3.0,3.0,3,4,3,11,2,595
3.0,92,,3.0,2,2,4,10,3,596
3.0,128,3.0,3.0,5,5,4,10,3,597
2.0,83,,0.0,6,4,10,4,0,598
1.0,138,1.0,1.0,7,10,4,6,0,599
0.0,109,0.0,0.0,11,4,3,2,0,600
1.0,106,1.0,1.0,6,12,3,2,0,601
0.0,169,,0.0,11,3,5,2,0,602
2.0,87,,2.0,5,4,10,3,2,603
3.0,116,3.0,1.0,3,7,5,10,2,604
1.0,138,3.0,0.0,9,10,7,8,1,605
3.0,132,,3.0,7,3,3,10,3,606
1.0,150,1.0,1.0,6,10,2,2,0,607
3.0,156,,3.0,2,6,4,12,3,608
1.0,82,,1.0,4,10,3,2,2,609
2.0,199,0.0,2.0,7,2,10,6,3,610
0.0,133,2.0,0.0,10,5,6,4,0,611
3.0,140,3.0,0.0,6,3,5,10,0,612
1.0,110,1.0,1.0,5,10,2,3,0,613
3.0,152,0.0,3.0,7,6,5,10,1,614
3.0,148,0.0,3.0,5,3,2,10,3,615
1.0,66,,1.0,2,10,4,2,3,616
1.0,126,0.0,0.0,9,11,3,2,1,617
0.0,129,0.0,0.0,10,2,3,4,3,618
3.0,128,3.0,0.0,7,4,2,10,0,619
0.0,81,0.0,0.0,11,3,4,3,2,620
3.0,168,,3.0,7,3,2,10,3,621
1.0,166,0.0,1.0,7,10,4,5,0,622
1.0,198,1.0,0.0,6,10,3,2,0,623
,200,,0.0,8,6,7,6,1,624
0.0,101,,0.0,10,2,5,4,2,625
,200,0.0,1.0,6,7,4,7,1,626
0.0,121,0.0,0.0,11,4,7,4,2,627
0.0,125,,0.0,10,8,2,2,0,628
3.0,136,,3.0,7,6,2,12,3,629
0.0,113,,0.0,10,3,7,3,2,630
2.0,139,,2.0,4,6,13,6,3,631
1.0,138,1.0,0.0,8,10,4,6,3,632
1.0,98,,1.0,4,10,2,4,1,633
2.0,59,,2.0,2,3,11,3,2,634
1.0,106,,0.0,9,10,4,2,1,635
2.0,103,,2.0,4,3,10,2,2,636
0.0,133,2.0,0.0,10,2,5,4,0,637
0.0,145,1.0,0.0,10,7,4,6,0,638
1.0,118,,1.0,8,10,5,5,2,639
1.0,102,2.0,1.0,5,10,7,2,0,640
0.0,113,1.0,0.0,10,6,3,3,0,641
1.0,94,1.0,1.0,4,10,3,2,0,642
1.0,166,2.0,1.0,3,10,8,4,1,643
3.0,116,3.0,1.0,3,6,2,10,3,644
1.0,126,,1.0,2,10,4,3,3,645
2.0,131,,2.0,7,2,10,4,2,646
2.0,107,,2.0,4,2,10,4,0,647
1.0,110,,0.0,9,10,3,2,2,648
0.0,121,,0.0,11,2,3,4,0,649
2.0,91,2.0,2.0,7,4,10,4,1,650
1.0,182,1.0,1.0,6,11,6,4,0,651
1.0,130,,1.0,3,10,4,2,1,652
,200,1.0,0.0,5,8,4,4,3,653
3.0,180,3.0,0.0,4,7,5,10,1,654
1.0,178,,1.0,4,10,6,4,1,655
3.0,148,0.0,2.0,5,4,8,10,3,656
2.0,107,,2.0,2,4,10,3,2,657
3.0,92,3.0,3.0,3,4,2,10,3,658
0.0,125,,3.0,10,4,4,4,1,659
3.0,96,,3.0,2,2,6,10,3,660
2.0,143,1.0,3.0,6,9,10,4,0,661
1.0,134,,1.0,5,11,7,8,3,662
0.0,165,,3.0,11,4,7,6,1,663
2.0,167,2.0,2.0,3,2,11,6,2,664
1.0,130,1.0,1.0,2,11,2,4,3,665
2.0,139,2.0,2.0,6,5,10,3,0,666
2.0,107,,0.0,4,5,10,3,1,667
0.0,125,0.0,0.0,11,3,9,2,0,668
0.0,109,0.0,0.0,11,3,6,3,2,669
3.0,132,,3.0,3,2,2,10,3,670
0.0,125,0.0,0.0,10,5,4,6,2,671
3.0,96,1.0,3.0,2,7,3,10,1,672
3.0,168,2.0,1.0,6,7,6,10,1,673
2.0,151,,1.0,3,8,10,7,1,674
1.0,146,2.0,0.0,8,10,4,5,1,675
0.0,149,0.0,0.0,10,6,4,6,1,676
1.0,90,1.0,1.0,3,10,3,3,1,677
0.0,153,,0.0,10,5,6,8,0,678
3.0,116,3.0,,2,2,3,10,3,679
,200,3.0,1.0,5,7,6,7,2,680
2.0,147,2.0,3.0,9,7,10,7,1,681
1.0,98,1.0,1.0,4,10,2,8,3,682
2.0,183,,2.0,4,7,10,2,1,683
2.0,103,0.0,3.0,5,2,10,8,2,684
1.0,138,,1.0,4,10,2,6,1,685
0.0,69,0.0,0.0,10,2,2,2,0,686
0.0,165,,0.0,10,5,4,4,0,687
1.0,162,2.0,1.0,5,10,9,6,1,688
0.0,61,,0.0,10,3,2,4,3,689
0.0,157,0.0,3.0,10,5,5,5,1,690
1.0,142,0.0,0.0,9,10,6,2,2,691
2.0,99,,2.0,2,5,11,2,1,692
3.0,140,3.0,1.0,3,9,4,10,1,693
1.0,150,1.0,2.0,4,10,7,3,1,694
3.0,80,3.0,3.0,2,3,2,10,3,695
2.0,123,2.0,2.0,8,4,10,6,3,696
2.0,123,2.0,2.0,5,2,10,6,3,697
0.0,93,,0.0,11,4,2,4,1,698
1.0,162,1.0,1.0,2,10,8,3,2,699
3.0,184,,3.0,3,4,9,10,3,700
3.0,112,,3.0,4,5,4,10,3,701
2.0,147,,1.0,7,8,10,6,1,702
1.0,142,1.0,3.0,3,10,5,8,3,703
,200,,2.0,4,2,9,3,2,704
0.0,101,,0.0,10,2,7,3,0,705
0.0,197,3.0,0.0,10,8,6,7,2,706
0.0,117,,0.0,10,3,6,4,2,707
2.0,79,,2.0,2,3,10,2,3,708
,200,,0.0,8,7,2,3,0,709
0.0,129,,0.0,10,3,4,3,0,710
3.0,112,3.0,3.0,3,2,2,10,3,711
0.0,129,0.0,1.0,10,5,8,2,0,712
3.0,160,3.0,3.0,6,5,6,11,3,713
1.0,106,1.0,3.0,5,10,4,6,0,714
0.0,105,,0.0,11,2,4,2,0,715
1.0,190,3.0,1.0,3,10,6,6,1,716
2.0,99,2.0,1.0,4,7,10,2,1,717
3.0,96,,3.0,3,3,4,10,3,718
3.0,128,3.0,3.0,3,3,5,11,3,719
2.0,123,,0.0,6,6,10,5,3,720
2.0,91,0.0,2.0,7,3,10,2,2,721
3.0,120,,3.0,7,4,3,10,1,722
3.0,132,3.0,2.0,2,4,7,10,2,723
2.0,59,,2.0,4,2,10,2,2,724
1.0,126,1.0,1.0,6,10,2,7,3,725
,200,,1.0,3,8,3,4,1,726
1.0,190,1.0,1.0,2,10,4,5,1,727
0.0,165,,0.0,10,4,3,5,0,728
2.0,123,,3.0,4,2,10,5,3,729
3.0,116,,3.0,2,2,5,10,3,730
2.0,139,,2.0,3,2,10,4,2,731
2.0,191,2.0,2.0,2,3,10,9,3,732
1.0,142,,3.0,7,10,6,8,3,733
1.0,98,,1.0,3,10,5,2,3,734
3.0,88,,3.0,2,2,2,10,3,735
2.0,179,,0.0,6,7,10,2,2,736
1.0,122,,1.0,2,10,3,6,3,737
1.0,98,1.0,1.0,2,10,2,5,3,738
3.0,148,0.0,3.0,6,4,4,10,3,739
0.0,137,2.0,0.0,10,2,9,2,2,740
1.0,194,,2.0,4,11,7,6,0,741
2.0,103,2.0,2.0,3,3,10,6,3,742
3.0,120,,1.0,6,8,4,10,3,743
1.0,98,1.0,3.0,2,10,4,8,3,744
0.0,141,,0.0,10,7,4,5,1,745
3.0,192,3.0,0.0,6,8,2,10,1,746
2.0,75,,2.0,2,3,10,2,2,747
3.0,96,,3.0,2,2,2,10,3,748
3.0,148,,3.0,8,5,3,10,0,749
1.0,126,,1.0,3,11,3,7,2,750
3.0,68,,3.0,3,2,3,10,0,751
0.0,157,,0.0,10,5,2,2,0,752
2.0,147,3.0,2.0,2,9,10,5,2,753
2.0,143,,2.0,2,6,11,2,1,754
0.0,153,,0.0,10,9,7,5,0,755
2.0,107,2.0,2.0,4,3,11,2,2,756
,200,0.0,1.0,9,4,4,6,0,757
3.0,144,,1.0,2,7,4,10,2,758
1.0,122,,1.0,3,10,2,2,1,759
0.0,105,,0.0,10,2,5,4,0,760
0.0,89,,0.0,10,2,5,2,0,761
1.0,130,1.0,3.0,4,10,6,8,0,762
1.0,130,1.0,1.0,4,10,2,4,3,763
3.0,124,3.0,3.0,2,8,3,10,1,764
,200,,0.0,9,4,6,7,0,765
0.0,161,,1.0,10,6,6,4,2,766
3.0,100,3.0,3.0,3,5,2,10,1,767
2.0,43,,2.0,2,2,11,2,2,768
1.0,62,1.0,1.0,2,12,2,2,1,769
1.0,158,3.0,3.0,2,11,5,9,2,770
2.0,95,2.0,2.0,2,3,10,6,3,771
0.0,137,,0.0,10,3,2,3,0,772
2.0,91,2.0,2.0,4,2,10,3,3,773
2.0,103,,3.0,6,4,10,5,0,774
3.0,180,0.0,3.0,8,8,5,11,2,775
3.0,48,,3.0,3,4,3,10,1,776
3.0,88,,3.0,3,5,5,10,3,777
,200,,1.0,8,9,7,6,1,778
0.0,193,0.0,0.0,11,4,4,6,3,779
0.0,133,0.0,0.0,10,2,6,4,0,780
0.0,89,,0.0,10,3,5,2,0,781
3.0,80,1.0,1.0,2,7,4,10,3,782
1.0,122,,1.0,7,10,4,6,1,783
,200,3.0,2.0,2,4,6,5,2,784
3.0,132,3.0,3.0,6,4,2,10,1,785
2.0,111,,0.0,8,3,10,4,3,786
0.0,57,,0.0,10,4,3,2,1,787
3.0,152,2.0,2.0,5,2,9,10,3,788
,200,2.0,0.0,7,3,6,3,0,789
3.0,92,,3.0,4,5,2,10,3,790
3.0,140,,3.0,3,2,7,10,2,791
2.0,103,,2.0,2,3,10,4,2,792
2.0,107,2.0,2.0,4,3,10,2,1,793
1.0,130,3.0,2.0,3,10,7,6,0,794
2.0,99,,2.0,4,2,10,2,2,795
2.0,147,2.0,2.0,6,3,10,6,3,796
,200,1.0,2.0,6,8,7,2,2,797
2.0,123,,2.0,3,2,10,6,2,798
3.0,136,,1.0,4,6,6,10,2,799
,200,,2.0,8,8,5,2,1,800
,200,,2.0,7,4,9,8,2,801
1.0,110,,1.0,6,11,3,3,0,802
3.0,140,3.0,3.0,3,6,7,11,2,803
0.0,105,0.0,0.0,10,4,5,3,0,804
3.0,172,,2.0,6,2,7,12,2,805
2.0,87,2.0,1.0,4,6,10,4,1,806
2.0,147,2.0,2.0,7,4,12,6,0,807
1.0,86,1.0,1.0,2,10,3,2,1,808
2.0,75,,2.0,3,3,10,2,2,809
1.0,106,1.0,1.0,4,11,2,5,3,810
2.0,111,2.0,2.0,5,4,10,2,2,811
2.0,91,,0.0,8,2,10,2,1,812
2.0,119,3.0,2.0,6,2,10,6,3,813
,200,,0.0,7,3,3,5,0,814
2.0,51,,2.0,2,5,10,2,2,815
1.0,94,,1.0,5,10,2,2,2,816
1.0,150,1.0,0.0,4,10,3,6,0,817
1.0,170,1.0,3.0,4,10,8,8,3,818
1.0,194,1.0,2.0,4,10,6,6,2,819
0.0,113,0.0,0.0,10,5,4,4,0,820
2.0,75,2.0,3.0,3,2,10,5,3,821
0.0,77,,0.0,10,2,2,2,0,822
1.0,102,,1.0,7,10,6,6,2,823
2.0,63,2.0,2.0,2,2,10,4,3,824
2.0,91,,2.0,2,3,10,4,2,825
,200,,2.0,3,8,9,5,1,826
1.0,142,,1.0,8,10,4,3,1,827
0.0,125,,0.0,10,4,2,4,0,828
2.0,95,,2.0,4,4,10,4,0,829
0.0,97,0.0,0.0,10,3,4,7,3,830
1.0,126,,1.0,4,11,4,6,3,831
1.0,90,,0.0,8,10,2,4,0,832
1.0,94,1.0,0.0,5,10,2,4,0,833
1.0,190,,1.0,9,10,7,5,2,834
1.0,54,,1.0,3,10,2,3,3,835
1.0,54,,1.0,3,10,2,2,1,836
0.0,57,,0.0,10,2,2,3,0,837
1.0,110,,1.0,8,10,3,3,1,838
,200,,0.0,7,2,9,6,2,839
1.0,118,,3.0,6,10,3,9,3,840
0.0,85,0.0,0.0,11,2,2,6,3,841
1.0,162,,0.0,7,10,3,8,0,842
0.0,129,,0.0,10,4,2,2,0,843
0.0,173,1.0,1.0,10,9,4,4,0,844
1.0,102,2.0,1.0,2,10,8,3,1,845
3.0,164,1.0,3.0,5,7,4,10,2,846
3.0,100,3.0,3.0,5,2,5,11,2,847
1.0,102,,1.0,3,10,2,5,1,848
,200,,1.0,4,4,8,9,3,849
0.0,61,,0.0,10,2,3,3,3,850
0.0,177,,2.0,11,9,8,2,1,851
2.0,75,2.0,2.0,4,3,10,2,2,852
0.0,73,,0.0,10,4,2,2,1,853
1.0,162,,1.0,8,10,4,4,1,854
2.0,67,,2.0,4,3,11,3,2,855
0.0,189,0.0,2.0,10,4,7,9,3,856
3.0,96,,3.0,2,4,3,10,3,857
2.0,179,0.0,2.0,6,2,10,7,0,858
3.0,124,,3.0,3,7,4,10,3,859
2.0,155,,2.0,2,2,10,7,3,860
,200,3.0,0.0,5,2,7,6,2,861
2.0,159,1.0,2.0,9,7,10,7,2,862
3.0,160,,3.0,4,5,2,12,1,863
0.0,121,0.0,0.0,10,6,2,3,1,864
2.0,183,,0.0,6,3,10,2,0,865
2.0,91,1.0,2.0,4,5,10,2,1,866
0.0,89,2.0,0.0,10,2,8,2,2,867
2.0,107,,2.0,3,3,10,2,2,868
3.0,88,3.0,0.0,6,4,5,10,0,869
2.0,119,2.0,2.0,5,4,10,5,3,870
3.0,80,3.0,3.0,2,2,5,10,1,871
1.0,86,,1.0,2,10,6,2,1,872
0.0,109,0.0,3.0,10,2,4,7,3,873
1.0,126,1.0,0.0,9,10,2,5,0,874
1.0,194,1.0,2.0,7,10,9,8,2,875
1.0,70,,1.0,2,10,2,3,1,876
0.0,133,,0.0,10,3,8,3,0,877
,200,0.0,0.0,8,6,2,4,3,878
,200,0.0,0.0,7,3,6,2,2,879
1.0,98,3.0,1.0,3,10,7,5,1,880
,200,,0.0,7,9,4,4,2,881
1.0,110,,1.0,2,10,2,4,1,882
2.0,111,,2.0,3,2,10,3,2,883
1.0,158,3.0,1.0,3,10,7,8,2,884
,200,0.0,2.0,5,2,4,5,3,885
3.0,152,3.0,3.0,2,9,9,10,2,886
1.0,174,,0.0,7,10,8,6,1,887
2.0,163,,0.0,5,3,10,3,0,888
2.0,123,,2.0,4,9,10,2,1,889
3.0,80,,3.0,3,3,2,10,3,890
3.0,136,3.0,3.0,8,3,3,10,0,891
3.0,168,,0.0,7,5,4,10,0,892
0.0,89,,0.0,10,2,4,2,2,893
3.0,124,,3.0,4,3,4,10,3,894
3.0,92,,3.0,3,3,2,10,0,895
1.0,146,1.0,3.0,4,12,4,5,1,896
3.0,128,3.0,3.0,2,5,6,13,2,897
3.0,112,3.0,,4,2,7,10,1,898
3.0,112,3.0,0.0,8,4,6,10,0,899
0.0,93,0.0,0.0,10,6,3,2,1,900
3.0,104,,3.0,5,2,4,10,3,901
2.0,111,0.0,2.0,5,2,10,4,3,902
1.0,154,,1.0,4,11,6,4,2,903
1.0,122,1.0,1.0,4,10,7,4,0,904
0.0,189,2.0,0.0,10,6,9,5,3,905
0.0,141,,0.0,11,6,4,1,0,906
2.0,159,1.0,2.0,9,7,10,6,2,907
3.0,76,3.0,3.0,2,2,4,10,2,908
1.0,126,,1.0,5,11,2,4,1,909
2.0,63,,2.0,2,3,10,2,2,910
0.0,153,2.0,2.0,10,5,9,8,3,911
3.0,108,,3.0,4,2,6,11,0,912
1.0,142,0.0,1.0,7,10,5,6,1,913
2.0,163,1.0,2.0,7,9,10,4,2,914
2.0,179,0.0,2.0,7,8,10,6,1,915
2.0,103,,1.0,3,9,10,5,1,916
0.0,65,,0.0,10,2,2,5,3,917
0.0,189,0.0,2.0,11,3,5,4,1,918
3.0,136,1.0,3.0,7,8,4,10,3,919
2.0,91,,2.0,6,2,10,3,2,920
2.0,167,1.0,2.0,6,8,10,2,2,921
2.0,131,2.0,3.0,2,2,10,8,3,922
1.0,130,,3.0,3,10,4,9,1,923
0.0,157,2.0,0.0,10,4,9,4,0,924
1.0,130,0.0,1.0,7,10,2,3,2,925
3.0,172,3.0,3.0,4,5,4,10,0,926
0.0,129,1.0,0.0,11,4,2,4,3,927
3.0,180,3.0,0.0,9,7,7,11,0,928
0.0,173,1.0,0.0,10,7,5,2,0,929
1.0,150,,1.0,4,10,5,5,1,930
0.0,161,0.0,0.0,11,6,6,5,1,931
2.0,67,,2.0,2,3,10,3,2,932
3.0,132,3.0,3.0,3,2,6,11,3,933
0.0,189,3.0,0.0,10,6,4,5,1,934
2.0,83,2.0,2.0,2,5,11,2,2,935
1.0,126,,1.0,7,10,7,3,2,936
0.0,169,0.0,0.0,10,2,5,4,0,937
3.0,88,3.0,3.0,2,2,3,11,3,938
1.0,138,,2.0,3,10,8,4,2,939
3.0,136,,3.0,6,4,6,10,2,940
0.0,133,,0.0,10,2,2,6,0,941
2.0,95,,2.0,3,2,11,6,0,942
1.0,82,1.0,1.0,3,10,2,3,1,943
2.0,163,,0.0,9,3,10,5,2,944
0.0,105,,0.0,10,2,3,2,0,945
0.0,97,,0.0,10,3,3,3,0,946
,200,,1.0,7,6,7,3,2,947
1.0,186,1.0,0.0,7,10,8,4,2,948
,200,0.0,3.0,9,2,7,6,3,949
3.0,116,3.0,0.0,7,2,2,10,0,950
2.0,115,2.0,2.0,2,4,11,4,1,951
,200,,0.0,7,5,6,5,2,952
0.0,105,2.0,3.0,10,2,8,6,0,953
1.0,138,3.0,1.0,3,10,4,7,1,954
0.0,157,0.0,0.0,10,3,6,4,2,955
1.0,98,0.0,1.0,9,10,3,2,3,956
3.0,132,,3.0,2,4,5,10,2,957
2.0,123,,2.0,5,2,10,3,2,958
0.0,73,,0.0,10,3,3,2,0,959
2.0,147,0.0,2.0,9,4,10,6,2,960
1.0,154,1.0,0.0,9,10,5,4,0,961
0.0,77,0.0,0.0,10,4,2,3,2,962
2.0,95,,3.0,2,3,10,5,2,963
3.0,92,3.0,2.0,4,3,8,11,2,964
,200,1.0,3.0,6,5,5,8,0,965
2.0,111,,2.0,2,2,10,4,2,966
2.0,143,,1.0,4,8,10,2,1,967
2.0,115,1.0,2.0,2,8,11,3,2,968
1.0,126,,1.0,4,10,5,3,0,969
1.0,122,,1.0,4,10,4,3,1,970
2.0,111,,2.0,5,6,10,6,3,971
2.0,171,2.0,0.0,5,6,10,4,1,972
2.0,111,,2.0,2,3,10,2,1,973
3.0,108,3.0,3.0,4,2,4,10,0,974
1.0,150,1.0,1.0,4,11,2,8,1,975
2.0,103,,2.0,4,2,10,3,3,976
1.0,78,,1.0,4,10,6,3,1,977
,200,2.0,1.0,2,6,4,4,3,978
0.0,97,0.0,0.0,10,2,6,3,0,979
3.0,116,1.0,2.0,3,6,9,10,2,980
2.0,67,,2.0,5,3,10,2,0,981
1.0,86,1.0,3.0,2,10,2,6,3,982
0.0,137,0.0,0.0,12,3,3,5,0,983
2.0,99,,1.0,4,8,10,3,1,984
3.0,136,3.0,3.0,2,2,9,10,3,985
3.0,92,3.0,2.0,6,4,6,10,1,986
3.0,128,,3.0,3,9,4,10,1,987
0.0,89,,0.0,10,2,2,4,0,988
,200,,2.0,3,6,9,5,2,989
0.0,129,0.0,0.0,10,2,6,3,0,990
1.0,198,,1.0,5,11,2,6,2,991
3.0,100,1.0,2.0,2,8,8,10,3,992
2.0,111,,2.0,5,4,12,2,2,993
1.0,154,1.0,3.0,4,11,6,9,1,994
1.0,122,,1.0,3,10,4,4,1,995
0.0,193,,0.0,10,2,6,4,2,996
2.0,187,2.0,1.0,3,7,11,7,1,997
1.0,98,,1.0,4,10,6,2,0,998
3.0,92,,3.0,4,5,2,10,1,999
0.0,145,0.0,0.0,10,4,9,2,1,1000
0.0,105,3.0,0.0,10,3,2,7,3,1001
0.0,149,2.0,0.0,10,8,8,4,2,1002
1.0,94,1.0,1.0,4,10,7,5,2,1003
3.0,88,3.0,3.0,4,4,5,10,3,1004
2.0,127,,2.0,8,5,10,2,2,1005
3.0,180,3.0,0.0,7,6,5,10,0,1006
3.0,108,3.0,0.0,8,3,2,11,0,1007
2.0,131,,0.0,4,3,11,4,2,1008
1.0,98,3.0,1.0,5,11,2,8,1,1009
2.0,119,,2.0,7,4,10,2,1,1010
1.0,150,1.0,1.0,2,10,6,8,2,1011
0.0,109,,0.0,10,2,3,7,3,1012
0.0,109,,0.0,10,2,3,3,3,1013
0.0,149,,2.0,10,5,5,4,0,1014
3.0,96,,3.0,6,2,6,10,3,1015
3.0,124,0.0,3.0,5,5,6,10,2,1016
1.0,154,,1.0,5,11,9,4,1,1017
3.0,80,,3.0,3,2,3,10,3,1018
3.0,128,2.0,3.0,2,4,5,10,3,1019
3.0,136,3.0,0.0,7,5,4,10,3,1020
3.0,80,,3.0,4,2,5,10,3,1021
1.0,118,,1.0,5,10,4,2,1,1022
2.0,79,,2.0,3,7,10,3,3,1023
0.0,85,,0.0,10,3,2,4,0,1024
2.0,99,,3.0,2,4,10,4,2,1025
1.0,90,,1.0,3,10,4,5,3,1026
1.0,138,,1.0,4,10,7,5,2,1027
0.0,169,2.0,0.0,10,9,8,6,0,1028
3.0,120,3.0,3.0,2,8,4,10,2,1029
1.0,78,,1.0,2,10,2,5,1,1030
3.0,164,,3.0,6,7,5,10,3,1031
,200,,1.0,5,4,2,5,0,1032
0.0,157,1.0,0.0,11,5,4,4,3,1033
3.0,116,,3.0,6,2,2,10,0,1034
1.0,150,,0.0,6,10,6,2,0,1035
1.0,138,0.0,1.0,9,10,2,5,1,1036
2.0,127,,2.0,7,4,10,3,2,1037
1.0,98,,1.0,5,10,3,2,1,1038
2.0,99,2.0,2.0,4,4,10,2,2,1039
0.0,117,,0.0,10,4,3,3,2,1040
1.0,90,,1.0,2,10,3,4,2,1041
1.0,110,1.0,1.0,4,10,2,2,0,1042
1.0,166,,1.0,6,11,6,4,0,1043
0.0,121,0.0,2.0,10,6,7,4,2,1044
0.0,157,,0.0,11,8,5,3,2,1045
1.0,138,2.0,1.0,2,11,5,4,1,1046
2.0,143,2.0,2.0,2,5,10,7,3,1047
,200,0.0,1.0,5,6,2,2,1,1048
3.0,112,1.0,3.0,2,6,7,10,2,1049
0.0,89,,0.0,11,4,5,6,2,1050
2.0,95,0.0,3.0,6,3,10,5,2,1051
1.0,94,1.0,1.0,3,10,3,2,1,1052
3.0,192,,2.0,3,8,9,10,2,1053
3.0,120,,3.0,5,3,3,10,3,1054
2.0,47,,2.0,2,3,10,3,3,1055
1.0,178,,1.0,5,10,3,7,1,1056
3.0,144,,3.0,2,3,3,10,3,1057
,200,,2.0,2,6,6,4,2,1058
0.0,133,3.0,0.0,10,2,5,8,0,1059
0.0,129,,0.0,12,2,2,4,0,1060
1.0,170,,1.0,6,10,4,4,1,1061
3.0,100,0.0,3.0,5,4,3,10,3,1062
3.0,180,2.0,0.0,7,5,7,10,0,1063
1.0,150,2.0,1.0,5,10,7,6,1,1064
0.0,121,1.0,3.0,11,8,3,8,3,1065
1.0,98,1.0,1.0,4,10,2,4,3,1066
1.0,90,,1.0,2,10,4,2,1,1067
3.0,92,,3.0,3,4,2,10,3,1068
0.0,53,,0.0,10,2,3,4,0,1069
0.0,73,,0.0,10,4,2,4,0,1070
2.0,187,2.0,0.0,6,7,10,5,1,1071
0.0,141,,0.0,10,3,4,7,0,1072
0.0,117,0.0,0.0,10,2,4,2,0,1073
1.0,62,,1.0,2,10,2,2,1,1074
1.0,166,,1.0,4,10,3,6,1,1075
0.0,93,,0.0,10,3,3,2,0,1076
1.0,114,,1.0,5,10,4,7,2,1077
2.0,191,0.0,1.0,8,9,10,6,2,1078
2.0,83,,2.0,7,4,10,2,2,1079
3.0,148,3.0,3.0,4,4,5,10,2,1080
3.0,76,3.0,2.0,2,2,6,10,2,1081
0.0,113,,1.0,10,8,5,3,0,1082
0.0,173,,2.0,10,4,5,2,0,1083
0.0,173,3.0,0.0,11,7,2,9,1,1084
1.0,110,1.0,1.0,2,10,2,3,1,1085
1.0,174,,0.0,9,10,4,4,0,1086
0.0,161,,0.0,10,7,2,3,1,1087
2.0,87,,2.0,3,2,10,2,2,1088
2.0,123,2.0,2.0,7,8,10,4,0,1089
2.0,127,2.0,3.0,5,7,11,5,1,1090
3.0,96,,3.0,2,3,2,10,3,1091
2.0,79,,2.0,2,3,10,4,3,1092
2.0,127,,2.0,7,4,10,5,2,1093
0.0,77,0.0,1.0,10,5,4,2,0,1094
0.0,57,,0.0,11,3,2,4,1,1095
1.0,186,2.0,1.0,4,10,9,3,1,1096
0.0,161,1.0,0.0,10,7,4,3,2,1097
1.0,154,1.0,1.0,7,10,5,4,0,1098
0.0,125,,0.0,10,6,4,6,2,1099
0.0,137,,3.0,10,2,4,9,3,1100
3.0,84,,0.0,6,6,3,11,3,1101
,200,3.0,0.0,9,5,7,9,1,1102
0.0,113,,0.0,11,2,6,3,0,1103
1.0,142,,1.0,9,10,5,2,1,1104
3.0,132,,0.0,6,3,6,10,0,1105
1.0,122,1.0,1.0,2,10,3,4,2,1106
2.0,83,2.0,2.0,3,4,10,2,2,1107
1.0,86,1.0,0.0,6,10,3,2,1,1108
3.0,132,,0.0,5,2,2,10,3,1109
3.0,116,3.0,0.0,7,4,2,10,2,1110
3.0,104,,3.0,4,4,3,10,0,1111
2.0,107,0.0,2.0,7,2,10,8,0,1112
3.0,168,3.0,0.0,6,9,5,10,0,1113
1.0,138,,2.0,9,10,9,4,0,1114
3.0,140,3.0,3.0,6,5,8,10,2,1115
1.0,70,,1.0,3,10,4,2,2,1116
1.0,98,1.0,1.0,5,10,4,6,0,1117
3.0,140,0.0,3.0,6,4,2,10,3,1118
3.0,112,,1.0,2,9,5,10,1,1119
0.0,81,,0.0,10,4,3,3,0,1120
2.0,111,,2.0,2,3,10,3,2,1121
3.0,136,1.0,3.0,5,7,2,10,3,1122
2.0,171,,0.0,9,8,10,3,2,1123
1.0,190,2.0,0.0,9,10,9,2,1,1124
3.0,124,3.0,3.0,3,2,4,10,0,1125
,200,0.0,1.0,8,5,2,4,1,1126
,200,,3.0,4,4,4,7,2,1127
,200,3.0,1.0,5,8,3,7,1,1128
1.0,134,1.0,3.0,8,10,2,7,1,1129
0.0,73,,0.0,11,3,3,2,0,1130
3.0,164,,3.0,7,3,3,10,3,1131
3.0,128,,3.0,4,4,2,10,3,1132
2.0,75,,2.0,2,2,10,4,2,1133
2.0,95,,2.0,3,2,10,4,0,1134
0.0,117,,0.0,10,5,4,5,0,1135
0.0,181,2.0,0.0,10,3,8,5,2,1136
3.0,120,3.0,2.0,2,4,7,10,2,1137
,200,2.0,2.0,4,4,6,3,1,1138
0.0,137,,0.0,10,3,2,3,0,1139
